"","SD","HFD","DR","EX","DREX","cluster"
"sn_Glycero_3_phosphate_dat_m_3",0.0143619466580394,0.0128701246607897,0.0212228083409539,0.0151324877010787,0.020495244750376,6
"Succinic_acid_dat_m_1",0.0563388991385489,0.0460128501466253,0.0517611896913863,0.0437531232566807,0.0507401896707071,5
"Succinic_acid_dat_m_2",0.0554495628047637,0.0690502620006412,0.0342465295970127,0.0276572850533729,0.0559789948540986,9
"Succinic_acid_dat_m_3",0.00945317076596339,0.0140583669834774,0.0074607960872729,0.00739685640080867,0.0132504843190005,9
"X6_Phosphogluconic_acid_dat_m_1",0.143239265941829,0.167235911267589,0.183264556808879,0.167056824753993,0.19352625505824,6
"X6_Phosphogluconic_acid_dat_m_2",0.14391471504885,0.188058427024413,0.20713190756217,0.190431343824737,0.244452871651863,6
"X6_Phosphogluconic_acid_dat_m_3",0.0610669397972014,0.0882938037659056,0.0620144069904805,0.0724746900601682,0.0915127826853553,1
"X6_Phosphogluconic_acid_dat_m_4",0.0181394679030851,0.0241138646456905,0.0294826719281691,0.0243931197416425,0.0408895716613143,6
"X6_Phosphogluconic_acid_dat_m_5",0.00615264564923104,0.00840079689289569,0.00857698919507045,0.00788799719304778,0.00878291342922136,6
"Asap2",5.49916382903018,7.19647462324567,5.41102960784411,6.65847038998042,14.863816574754,1
"Fam173a",1.41191103685173,4.40579129397245,7.99899449383905,2.80255482504302,1.83759389000443,2
"Serhl",4.1435350113027,2.98748279637848,7.35322248690322,0.44183778878442,3.68839779015113,5
"Etfbkmt",1.62097744732378,0.792207257543361,7.65866724664953,3.43807586122399,7.21137368425745,6
"Csmd1",4.19201356061166,2.48961083821562,14.1331192237386,2.85492479681964,9.32481266780543,6
"Peg3",0.313906869797707,4.83292078737016,6.46543531941432,3.26559054427387,4.70211965575069,6
"Shtn1",4.68390267553705,2.90883040693023,2.54689267190472,0.97917213333428,7.04768642995822,4
"Phyhd1",3.71712056258142,2.41366300673753,5.75024292002617,4.22937576504591,1.43070852359804,3
"Ppp1r12c",5.00995492327863,8.52965949085027,8.16141274951142,3.0788542795356,5.4170440921181,2
"Col28a1",0.920654603513543,2.17401323677911,6.79517336939326,6.25116385151181,10.1951496158827,6
"Tacc1",5.9637145145093,3.84894356347067,8.66115165786844,2.99174676046753,4.07082806976108,5
"Hnrnph3",0.468437729298025,3.75780155089256,5.98703039803301,3.0393707316426,7.77952309445502,6
"Poldip3",0.260024244670242,4.74901114050948,5.06693517725393,3.15784090446235,10.0114675148133,6
"Dip2b",6.83097353791738,3.44409060564871,7.64341807875577,2.86964841501789,5.62669593550027,5
"Hnrnpll",4.82067207864224,2.64489024486668,4.79526583819389,1.14752333441003,3.25955501796391,5
"Zzef1",3.0415520536889,4.84277627371727,4.72125124963805,0.693144110237945,5.61174678859397,4
"Sorcs1",4.70713066178338,5.46764547966288,4.08793412730315,0.726744010160622,6.47110340418134,4
"Sirt2",6.30882717511303,5.12985999173179,7.24676477175197,1.17106272419349,7.42962152764076,5
"Setd1a",5.50776557043459,3.52735873123261,7.30526997516483,1.523881638225,7.21964289576338,4
"Zc3h7a",2.00315416613983,4.75493153362478,8.20544015982265,7.51492785771439,8.72558558928668,6
"Foxo1",0.53573475754006,5.88092914993455,6.81677018227539,3.24405481241439,5.396517544715,6
