"","SD","HFD","DR","EX","DREX","cluster"
"Succinic_acid_dat_m_1",0.0563388991385489,0.0460128501466253,0.0517611896913863,0.0437531232566807,0.0507401896707071,6
"Succinic_acid_dat_m_2",0.0554495628047637,0.0690502620006412,0.0342465295970127,0.0276572850533729,0.0559789948540986,2
"Succinic_acid_dat_m_3",0.00945317076596339,0.0140583669834774,0.0074607960872729,0.00739685640080867,0.0132504843190005,2
"X6_Phosphogluconic_acid_dat_m_1",0.143239265941829,0.167235911267589,0.183264556808879,0.167056824753993,0.19352625505824,3
"X6_Phosphogluconic_acid_dat_m_2",0.14391471504885,0.188058427024413,0.20713190756217,0.190431343824737,0.244452871651863,5
"X6_Phosphogluconic_acid_dat_m_3",0.0610669397972014,0.0882938037659056,0.0620144069904805,0.0724746900601682,0.0915127826853553,4
"X6_Phosphogluconic_acid_dat_m_4",0.0181394679030851,0.0241138646456905,0.0294826719281691,0.0243931197416425,0.0408895716613143,5
"X6_Phosphogluconic_acid_dat_m_5",0.00615264564923104,0.00840079689289569,0.00857698919507045,0.00788799719304778,0.00878291342922136,3
"Paqr8",33.9080550731581,48.7630811478328,58.7439997885562,74.3144521054003,51.5954247645728,10
"Ncf2",49.8516403568469,68.3726103907751,84.0265234986183,94.005911502592,79.5171189693704,10
"Etnppl",57.4235594373876,73.905399910183,77.5101579576485,97.7332440281578,76.3829316153776,10
"Isg15",1.46802264228445,11.0424278245171,4.38868334473135,10.1664525179894,19.2255166863367,4
"Tyms",3.92489328691591,3.3865572998307,1.70725689510656,8.11359892638312,10.2088099323563,4
"Gadd45b",16.6660022621745,25.1827749462925,26.3969364298298,40.556051956826,68.1136599617771,4
"Per1",121.897398504683,175.277537616862,219.459321377512,235.945587212665,198.0102661284,10
"Fam57a",51.4691290839123,74.4039770615897,82.564733377633,124.320260745496,80.1396409382519,10
"Trib2",34.654443306559,57.427635158219,61.7039984838914,94.4891582868647,141.083790179649,4
"Pck2",5.90924663970188,5.32409763245659,6.45256108244245,9.1480310119213,19.5818381623452,4
"Adcy6",17.0414667979511,31.5560141177161,43.247930683443,53.321797761221,38.8096754806976,10
"Cd74",2.39458562812396,5.4597245216362,2.46129948616215,4.73092198741923,10.8684053573853,4
"Sdhaf1",10.3207212358433,12.4641359261897,11.7363673946676,26.5175586933987,25.0236860393792,8
"Rtn4ip1",8.29931511018581,13.8542112544024,21.5508870223641,12.4214557700141,20.5993735218609,5
"Acot2",11.1200027226127,13.944301924881,15.2766718808216,32.4551351358993,25.8805230889453,8
"Olfml2a",20.2967278163426,29.9510387645751,56.4212517318707,48.1626271509786,61.1171748753895,3
"Ddx58",4.31897518897104,10.1520065148637,4.63051842628086,10.4966386499861,12.4951264478937,4
"Tpm2",4.79589316466071,2.63936437628834,10.6692013610317,7.86890289767824,18.9798347106117,5
"Focad",2.35248906649024,6.02845668322728,2.15169089126308,7.62248687616433,4.99033294999109,8
"Zfp59",2.19944429259567,1.35363785317912,7.08398092755627,5.42025805302421,4.56621748670445,7
"Hmbs",5.63600168971486,3.86737359006223,12.2842620249097,13.3997554143296,11.6442135177871,9
"Zfp652",21.8870338020085,37.2277049787005,27.7357600454775,41.6255714908413,50.8911625696184,4
"Cbx2",15.4558331010475,34.2092232561885,23.7502936788856,30.7093728747346,46.1040882785124,4
"Mphosph8",14.2733958279372,36.0270020667839,27.8378470864102,38.3492869890572,50.0041968963917,3
"Tmem186",9.5890467937243,13.3725340431966,27.6409558095412,30.1302732230234,31.4580259897712,3
"Plin4",5.9583078003741,15.2296054453824,7.39806844505901,18.4316896059401,13.9899334621589,8
"Tgif1",6.13507720926673,20.7436721411289,12.8895845667039,16.8071814749186,20.4853201965567,3
"Bok",63.8116471406235,86.6067841806038,76.3681123035519,124.987009393734,112.636824794919,8
"Casq1",13.121736802279,9.83291953982202,10.9241434352815,19.5753901013604,20.0982355435413,9
"Scp2",20.9681284950177,24.3120858121349,22.1209149308469,43.9816121000965,39.6620583111765,8
"Tmem222",11.3573959928994,29.6132407767325,40.07590697352,44.2083064198944,41.69487040099,3
"Pi4k2b",2.07134565703594,11.0081344098961,11.8768676429196,14.520677607373,17.65648819139,3
"Paqr3",1.91208329951395,8.31183919834337,10.6367065262682,12.231579648468,14.5931509529025,3
"Gtf2ird1",3.63395607774356,13.3141520064283,18.3529357525397,18.8978386280089,27.397875814179,3
"Zfp235",1.11660378214465,4.84174684968662,7.10532064573301,8.38001215741454,9.36741160397815,3
"Emc8",11.362312289692,24.2700248576947,35.5450169115091,37.8460280992928,45.1520604770859,3
"Bcr",24.7647986660849,31.5571831498741,27.3064302594396,43.3983329956084,43.6254581870387,8
"Polr2e",54.6732908923463,64.7010143277302,68.2891239232388,94.1180066351777,105.609045062005,4
"Nacad",5.5794068975261,11.2581181691714,21.4140118731792,23.4998966675942,26.9304099406797,3
"Hist1h1e",22.1756223340239,25.1670200097683,19.224591396008,42.3578782732456,49.7405985803097,4
"Dgcr8",14.0094363278029,25.3399088941983,43.715472471675,42.2797563208077,46.3264772736594,3
"Epha6",15.1837365657013,30.6214724962606,45.4656814797631,51.0983431591743,55.4100293010328,3
"Rprd1a",48.6195761022839,54.5743050386198,55.4334496445227,79.5923841400151,104.49364577415,4
"Pcdhga12",9.19222384837401,23.426116232747,31.1779417655004,28.0684977467591,28.2033597848759,3
"Cox8a",44.1830176841952,49.1273764862471,51.0916035183564,77.9238812833047,87.2704941994758,4
"Slc25a14",6.48899542617247,16.9727144189773,28.0281377176002,26.2094642339137,25.3480248030282,3
"Sdhaf4",3.36996962925347,4.92372436986455,4.57479261608969,13.1290450155352,4.00351348182135,8
"Wdr66",9.47823040343375,14.572949687545,21.6580597496752,14.4096220380307,29.5637017839266,5
"Slc25a42",13.0137452953003,16.2902863460971,22.5977301795985,26.4235483240942,16.440207224946,10
"Ero1lb",8.37299037797603,12.9659652609602,15.1969704254706,22.7389837188571,14.1088391914709,10
"Ube2ql1",10.4425665454717,13.8950035855009,13.6354341434261,20.6495766757682,11.1239240120298,10
"Prelid3a",37.7390142206887,67.6243502207974,73.7730492465209,98.0488066286019,74.7533667357594,10
"Tsc22d3",74.0585286355861,112.007973545548,122.718263749706,193.863399258508,119.546021225134,10
"Coq10b",3.9712596919749,12.9403751135127,10.7504735109132,10.0900542112397,9.48389711311644,2
"Zfp462",33.3154125066525,50.281733261286,62.5467517541942,77.8340911450467,116.987568277777,4
"Prpf4",9.11479179783472,8.45357878470027,17.7010264327601,18.3435458792232,26.7526989230424,4
"Gpatch3",8.44352603121451,13.0031017507064,17.5489625763423,22.1960584541141,39.2931370414368,4
"Sars2",14.6297246707218,17.6717624938975,31.8183961294945,35.9551497149228,51.2638544697088,4
"Ccdc189",3.31209417588442,5.10544051310005,5.69343236982739,5.08257956595961,2.7038466020853,2
"Fam53b",121.05761788445,206.174117265537,223.949920666665,276.736175180958,263.81112514073,3
"Fam129c",4.95617102442136,7.38285083424454,4.89208559846676,7.82267971423963,4.04218577230588,2
"Ldlr",83.4744354038708,103.247491647669,141.215289284113,200.649571575533,233.338569742813,4
"Plscr2",20.3231301200294,28.3611456263655,35.4405866625868,65.5917332399485,80.7863172470255,4
"Slc9a9",33.4688558163832,48.0750855692632,65.331323536818,77.6415359349046,111.785519615143,4
"Ctdspl",17.073077707827,30.7126519232407,35.6383815479577,34.6115750402619,30.4473869571341,3
"Chd3",1.47811328495774,1.57954839762024,5.42072533484453,3.38182914277007,10.7642728320435,5
"Rai14",57.8418822894432,76.0577936599713,113.112025836431,139.514048863665,172.521949542319,4
"Klf9",54.3260221799925,84.7513698623609,80.9519259812272,116.401970702959,91.4194862252694,10
"Dnm3",1.55036256961118,3.44863654697331,6.73211765584449,9.311238980094,12.1679234429406,4
"Rgs7",0.701395098755333,5.56646858278782,3.89817331039985,4.50565787174051,10.6824111263863,4
"Rabepk",8.00615303990799,7.64312905020682,6.58706889568191,10.2060185918332,6.6489601530209,8
"Exd1",11.4191368260971,9.84850398699693,10.9182073227622,11.9143919192034,10.3950369285357,7
"Alg6",5.53705096220109,15.4182099046315,16.8696594015483,30.7957286624732,38.191210421018,4
