"","gene","log2FoldChange","pvalue","cell","comparision"
"298","Pla2g71",-0.708327127711778,4.4632364071772e-05,"mySC","DREX_vs_EX"
"299","Efna5",2.73617740214106,0.00157945736322414,"mySC","DREX_vs_EX"
"300","Lox1",-0.754913689680569,0.000217134280256361,"mySC","DREX_vs_EX"
"301","Prelid3a",-0.380764066764812,0.00648191338845418,"mySC","DREX_vs_EX"
"302","Chka",-0.549089217214036,0.000294772409773332,"mySC","DREX_vs_EX"
"303","Peli3",0.895095880250347,0.00852002614831268,"mySC","DREX_vs_EX"
"304","Ltbp31",0.380385913576185,0.00201883432951709,"mySC","DREX_vs_EX"
"305","Cntf",-0.431144654308537,0.00484011309994837,"mySC","DREX_vs_EX"
"306","Slit1",-0.962357088208259,0.00705271246827443,"mySC","DREX_vs_EX"
"307","Magix1",0.623281342657575,0.00254625192250271,"mySC","DREX_vs_EX"
"308","Ccdc160",-0.802912146984171,0.005978435575031,"mySC","DREX_vs_EX"
"309","Tsc22d3",-0.756370960543665,0.00359890617105993,"mySC","DREX_vs_EX"
"310","Per21",-0.761561787955064,0.000570731009701139,"mySC","DREX_vs_HFD"
"311","Rnpep",0.583037486013796,0.00446130258097942,"mySC","DREX_vs_HFD"
"312","Slamf9",0.488310807911525,0.00313432017071509,"mySC","DREX_vs_HFD"
"313","Pip4k2a",0.526387572321241,0.00668532534458581,"mySC","DREX_vs_HFD"
"314","Fubp3",-0.46543103734198,0.00682044531822346,"mySC","DREX_vs_HFD"
"315","Strbp",-0.802116794514986,0.00313078695103309,"mySC","DREX_vs_HFD"
"316","C1qtnf42",0.763485302732097,0.000903801689496023,"mySC","DREX_vs_HFD"
"317","Serf21",-0.535886122046862,0.00860373701154962,"mySC","DREX_vs_HFD"
"318","Casc4",1.1581301857024,0.00320829060927217,"mySC","DREX_vs_HFD"
"319","Mertk1",-0.541446197829368,0.00138788071179818,"mySC","DREX_vs_HFD"
"320","Spef11",-1.40031654432389,0.00041928799664498,"mySC","DREX_vs_HFD"
"321","Snta12",-0.495676413556685,0.000240091722829442,"mySC","DREX_vs_HFD"
"322","Ptpn1",0.682020869345753,0.00462371712811249,"mySC","DREX_vs_HFD"
"323","Fdps1",0.802424931715534,8.31010064376873e-07,"mySC","DREX_vs_HFD"
"324","Il6ra1",-0.543932444227126,0.00554361155386635,"mySC","DREX_vs_HFD"
"325","Psmd4",0.526794764933115,0.00848493611848252,"mySC","DREX_vs_HFD"
"326","Etnppl2",-0.913690070165223,7.77971671554181e-05,"mySC","DREX_vs_HFD"
"327","Gabrr2",-0.904722536074813,0.00247283298447938,"mySC","DREX_vs_HFD"
"328","Sigmar11",0.734916106547855,0.00372710558964551,"mySC","DREX_vs_HFD"
